"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2018","484.24","479.83","484.69","479.83","3.05M","1.22%"
"08/24/2018","478.39","475.90","478.63","475.31","4.62M","0.74%"
"08/23/2018","474.88","471.87","476.31","471.87","4.06M","0.77%"
"08/22/2018","471.27","470.83","472.43","469.52","4.03M","-0.12%"
"08/21/2018","471.82","470.22","473.12","469.57","3.72M","0.26%"
"08/20/2018","470.61","467.49","472.22","467.05","3.83M","0.74%"
"08/17/2018","467.13","468.59","468.59","464.08","4.24M","-0.38%"
"08/16/2018","468.89","466.19","469.60","466.13","4.06M","1.07%"
"08/15/2018","463.91","472.01","474.00","462.91","4.50M","-1.72%"
"08/14/2018","472.01","472.33","474.30","470.40","3.21M","0.07%"
"08/13/2018","471.66","469.28","472.78","467.14","3.38M","0.63%"
"08/10/2018","468.71","475.43","475.43","467.16","4.68M","-1.54%"
"08/09/2018","476.04","474.35","477.19","473.44","2.96M","-0.04%"
"08/08/2018","476.21","473.49","476.89","473.07","3.67M","0.60%"
"08/07/2018","473.39","474.82","477.60","473.39","3.46M","-0.36%"
"08/06/2018","475.11","475.95","478.17","473.03","3.88M","0.06%"
"08/03/2018","474.82","472.41","477.86","472.41","4.16M","0.57%"
"08/02/2018","472.12","470.59","472.54","468.84","5.08M","0.06%"
"08/01/2018","471.82","474.00","476.12","470.92","5.86M","-0.42%"
"07/31/2018","473.82","476.40","476.59","472.46","7.06M","-0.44%"
"07/30/2018","475.91","482.22","482.22","475.91","5.11M","-1.62%"
"07/27/2018","483.73","484.47","486.26","482.72","6.24M","-0.21%"
"07/26/2018","484.77","479.50","484.79","479.50","9.84M","0.70%"
"07/25/2018","481.41","484.08","484.08","480.45","5.56M","-0.68%"
"07/24/2018","484.69","482.24","488.28","482.24","4.78M","0.79%"
"07/23/2018","480.88","484.57","484.76","479.81","3.49M","-0.87%"
"07/20/2018","485.12","485.80","490.06","481.63","5.35M","-0.32%"
"07/19/2018","486.69","492.75","492.83","485.72","5.03M","-1.19%"
"07/18/2018","492.57","486.92","493.24","486.92","8.33M","2.53%"
"07/17/2018","480.43","477.19","480.62","473.93","4.26M","0.59%"
"07/16/2018","477.62","477.63","479.03","475.25","3.70M","0.11%"
"07/13/2018","477.08","478.24","482.05","476.33","4.91M","0.26%"
"07/12/2018","475.82","471.44","475.84","469.63","3.70M","1.22%"
"07/11/2018","470.10","475.11","475.11","468.55","4.36M","-1.49%"
"07/10/2018","477.22","473.01","477.92","472.42","4.37M","1.22%"
"07/09/2018","471.49","467.14","472.68","467.14","3.87M","1.22%"
"07/06/2018","465.82","466.34","466.92","462.53","3.81M","0.25%"
"07/05/2018","464.66","458.93","465.09","458.93","4.44M","1.25%"
"07/04/2018","458.92","464.24","464.24","457.20","4.11M","-1.33%"
"07/03/2018","465.09","465.02","468.35","463.25","5.31M","0.26%"
"07/02/2018","463.90","466.21","467.60","462.40","5.09M","-1.09%"
"06/29/2018","469.02","465.80","472.54","465.80","7.18M","1.55%"
"06/28/2018","461.86","471.71","473.88","459.33","6.31M","-2.53%"
"06/27/2018","473.87","470.84","476.82","466.10","4.72M","0.76%"
"06/26/2018","470.29","470.02","472.95","469.86","4.23M","0.36%"
"06/25/2018","468.60","479.95","479.95","468.60","5.47M","-2.81%"
"06/22/2018","482.17","483.34","485.00","479.60","5.16M","-0.29%"
"06/21/2018","483.58","490.72","492.46","481.69","4.88M","-1.26%"
"06/20/2018","489.73","488.50","492.40","488.07","4.95M","0.38%"
"06/19/2018","487.90","492.10","492.10","483.68","6.25M","-1.40%"
"06/18/2018","494.85","499.04","499.04","491.96","4.15M","-0.92%"
"06/15/2018","499.42","504.20","506.68","499.25","8.88M","-0.86%"
"06/14/2018","503.73","493.87","504.50","492.25","6.43M","1.80%"
"06/13/2018","494.81","487.13","495.07","487.13","5.74M","1.71%"
"06/12/2018","486.47","487.02","489.37","484.72","4.42M","0.08%"
"06/11/2018","486.06","482.49","486.71","482.49","4.31M","0.89%"
"06/08/2018","481.79","481.23","483.52","476.79","4.96M","-0.14%"
"06/07/2018","482.46","484.87","487.06","480.68","4.91M","-0.23%"
"06/06/2018","483.59","482.76","486.52","479.96","4.97M","0.23%"
"06/05/2018","482.46","475.86","486.33","475.86","4.99M","1.45%"
"06/04/2018","475.58","474.08","477.22","472.62","3.64M","0.47%"
"06/01/2018","473.37","469.41","474.82","468.75","4.93M","1.11%"
"05/31/2018","468.16","468.11","471.99","466.78","10.44M","-0.17%"
"05/30/2018","468.94","467.53","469.75","466.54","4.65M","0.29%"
"05/29/2018","467.57","472.68","472.68","464.86","5.72M","-1.27%"
"05/28/2018","473.59","477.22","479.14","472.32","2.65M","-0.59%"
"05/25/2018","476.39","473.58","476.95","473.45","4.04M","0.90%"
"05/24/2018","472.12","471.07","475.85","470.07","4.23M","0.41%"
"05/23/2018","470.21","472.86","472.94","467.58","4.88M","-0.73%"
"05/22/2018","473.68","473.26","475.73","471.75","4.39M","0.22%"
"05/21/2018","472.66","471.65","473.56","471.63","2.15M","0.31%"
"05/18/2018","471.20","473.44","473.62","468.72","5.24M","-0.82%"
"05/17/2018","475.11","472.20","475.19","470.84","3.81M","0.62%"
"05/16/2018","472.16","469.78","473.42","469.49","4.51M","0.65%"
"05/15/2018","469.12","470.76","472.77","467.63","6.40M","-0.72%"
"05/14/2018","472.50","471.68","472.58","468.90","5.28M","-0.19%"
"05/11/2018","473.39","473.42","475.97","471.42","5.54M","-0.04%"
"05/10/2018","473.56","471.04","473.76","471.04","4.55M","0.51%"
"05/09/2018","471.15","467.56","471.15","466.98","4.79M","0.77%"
"05/08/2018","467.56","465.85","467.90","464.53","5.59M","0.32%"
"05/07/2018","466.05","460.97","467.37","460.97","5.68M","1.18%"
"05/04/2018","460.61","455.18","460.62","455.18","8.14M","1.60%"
"05/03/2018","453.37","453.62","456.04","452.37","6.02M","0.04%"
"05/02/2018","453.18","449.08","455.13","449.08","9.20M","1.08%"
"05/01/2018","448.33","448.31","448.40","448.14","5.79M","-0.01%"
"04/30/2018","448.39","449.21","449.21","446.56","5.74M","-0.22%"
"04/27/2018","449.36","446.66","451.65","446.65","6.61M","0.84%"
"04/26/2018","445.61","441.04","446.35","438.30","10.38M","0.84%"
"04/25/2018","441.91","444.70","446.22","437.93","9.66M","-0.70%"
"04/24/2018","445.01","440.68","446.77","439.93","7.15M","0.64%"
"04/23/2018","442.19","439.10","442.24","437.28","5.85M","0.65%"
"04/20/2018","439.33","438.94","442.24","437.42","12.48M","-0.07%"
"04/19/2018","439.63","444.83","445.26","438.45","5.65M","-1.20%"
"04/18/2018","444.97","445.60","448.95","441.85","4.31M","-0.34%"
"04/17/2018","446.49","439.71","447.37","438.99","7.42M","1.84%"
"04/16/2018","438.41","440.92","443.13","438.00","4.52M","-0.61%"
"04/13/2018","441.08","442.62","442.62","438.56","6.31M","-0.19%"
"04/12/2018","441.92","436.00","442.40","435.13","5.18M","1.33%"
"04/11/2018","436.11","438.57","438.57","432.63","4.92M","-0.44%"
"04/10/2018","438.05","435.06","438.91","435.04","4.37M","1.05%"
"04/09/2018","433.49","430.58","433.93","430.51","3.55M","0.72%"
"04/06/2018","430.40","431.39","431.97","427.58","4.41M","-0.40%"
"04/05/2018","432.12","420.48","432.21","420.48","5.51M","3.22%"
"04/04/2018","418.64","425.32","425.32","414.73","6.19M","-1.66%"
"04/03/2018","425.71","425.00","427.82","421.75","5.89M","-0.78%"
"03/29/2018","429.06","427.38","431.44","424.52","5.50M","0.38%"
"03/28/2018","427.43","432.12","432.12","422.53","7.08M","-1.79%"
"03/27/2018","435.24","430.95","437.43","430.95","5.27M","1.92%"
"03/26/2018","427.04","432.12","435.06","425.17","6.08M","-1.15%"
"03/23/2018","431.99","435.36","435.53","427.23","6.35M","-1.26%"
"03/22/2018","437.49","445.14","445.14","434.60","7.07M","-2.14%"
"03/21/2018","447.07","445.82","447.60","443.87","4.81M","0.31%"
"03/20/2018","445.68","444.42","446.62","442.55","5.18M","0.36%"
"03/19/2018","444.07","454.74","454.74","442.98","7.69M","-2.51%"
"03/16/2018","455.49","457.07","458.63","454.94","11.90M","-0.37%"
"03/15/2018","457.17","454.27","458.55","453.81","5.02M","0.80%"
